Recipient,Amount
0xc22b30673f69ddae986ddb436a9d3125859264ba,426397.96
0xb7ccd127e1386449c084b84b18f3f050bafb5538,424109.51
0xc568759a7913117e9a9f65d93721320534729095,421647.56
0x81a105e9785de02e384ce9eebe5a44d05bad0c93,414802.81
0x6053707bece8227216376dd641bf9f13e0b539ee,413711.13
0x4dd6c8ca58ef69108f4b12dd02d9710692a058f7,410419.91
0x91c8e00931822cebd54522f788c5b55fcddda6f0,407053.55
0x3fda75c9a1a403fd2e1fc1e2bf948b153e81d590,405141.47
0xf6139a24808d83178df65689b99db41a471e79c4,394199.15
0xecb6551fa0ced139203dda7c7241a7198a8e29cf,385583.87
0xe153940b03220bfdbe1e3f8ad7d201c9431ba6f6,383936.29
0x95d57af1fd926452f6230c316c7209e9a27d3eb0,380845.08
0x682a0a8b79ddd59f8e6ee9c6aa51a7b16339e57c,380443.49
0x0210a374c55dd718004092c7225a4aab0b1affe4,379729.41
0x08b3a44c78581eb5410c38cbc0459f4fe362fd54,379397.44
0x906e4f89a62528cea41de343098c73ecd96e7d31,378710.14
0xedd65215b807f31024be5875e61dfe1f29ab6613,378459.6
0xe83c3bc71199b38c2dfb1f9d538e5b578a21e0c5,375626.11
0xfeb665b14de2d90015cf14dda00d9395ef4db6cf,373671.26
0x057631537c70a6fb2744b396165cc2c791303425,373224.07
0xc0f8adfbe61f8629b47aa9cb0a38f00aeeeb3e9c,368077.47
0xad9165ea6094e902499b9096d9c00a951c7acea2,367282.98
0xaa06ecce3c02c531834b4c2a9aec52f3a1d5b43a,366760.5
0x54cc98517ff1ee47b37709fdb419c923752718e6,363358.68
0x5904ccb1748b4ed45fa8d14a2160f07e4132b6be,362857.61
0xc7b8a23e80ffa7a4a384a39e304bfdb976ba1333,359665.33
0xce77534b2b34c531ce041589a8fa4eb6d68bdb56,357534.38
0xd7a21a0db8e2fa6d57a7a2c8743f20f7f031d45e,355129.14
0x28b0c60a675ed563137cf646c17d3d2c3e0da026,351484.69
0x7c2fe7a1ba378d22ce87e7fff32eade8a6875c8a,351381.79
0xb83aef4eb1b71894e30d7b6bfbc703f15c96a78d,349767.87
0xcdc06fd53b65278db229f745418398d6720f2744,348562.89
0xcb42d146d5e6961151618a967e5f8523276fa0d2,347174.29
0xbab715c2d248a73bc6c20714a844784c0b5cb71d,344972.85
0xf78cc867e75034e961a11ffa9db38df718aa9567,343518.67
0xf7241fac53faeaeeb438ea51fe346d8e8ceb94ca,343482.7
0x7cc9e73cbefb31502b60f5459a0e5de45dbb425f,342579.14
0xe38463c01390b3dbd2334b24bd674510e60146b9,341502.59
0x6112c016056f305e0a6d78e8c2c34d18b9727f9c,340026.04
0x92dc07a3a3e92ed0fddbf9c2a25a65f8adca91e5,336585.48
0xfebb8f2c54a1501eef707f44ee85703fd3aae869,335879.91
0x612d7d828533be40942c09774bf46420ad3588de,334408.25
0x69ebebbaa5aa3ea2b761dbf765833744f96f8c61,329758.95
